id,premise,hypothesis,lang_abv,language,label
17c1f14619,"Britain's best-selling tabloid, the Sun , announced as a front-page world exclusive Friday that Texan model Jerry Hall has started divorce proceedings against aging rock star Mick Jagger at the High Court in London.",The Sun makes millions every year off fake news.,en,English,1
f5f4dc48c1,Savonarola burned in Florence,Florence became Savonarola's new home.,en,English,2
6a98a077a5,"It will be COLOSSAL!""",It will be gigantic.,en,English,0
00c0cdf348,Cold and further than ever developed the Lord's voice.,God's voice feels so far away and cold,en,Vietnamese,0
8b8a91643a,27 The difficulty increases as the need for modifications of the boiler to be taken to adapt the SCR to the installation also increases.,27 The difficulty depends on the modifications.,en,Spanish,0
655cc51991,He says men are here.,He said that the men were not here. ,en,English,2
a2a8b36437,"Consequently, governmental decision-makers and bosses adopt new ways of thinking, examining different ways of achieving the objectives and using new information on guidance.",Government representatives refuse to change their lifestyle.,en,Greek,2
ca2570d90c,Such a boat was developed to allow opportunities to arrive for ships that arrive.,Boats were established to make it easier to find the coming ships.,en,Swahili,0
89fdd6de05,yeah uh-huh oh yeah petting zoos and things,"Yes, petting and other things.",en,English,0
fc9b9e81ec,"I have never understood why the international national telephone writing is not used in the English dictionary of each kind, but this is more than the scope of our words in this audit.",This review is small for the scope so that it does not discuss why the authorship of the international writers are not used in English dictionary.,en,Swahili,0
aa6feee06e,"Squiry, management now pointing these food coupons, of course, can also turn to Basic Welfare - TANF.",The government has not mentioned anything about food coupons or benefits.,en,Chinese,2
14fa262750,"The almost midtown Massabielle quarter (faubourg de Massabielle), is sometimes described as the most picturesque in the city.",The Massabielle quarter is considered the most photogenic.,en,English,0
7e89da4ba3,4) Not enough is known about how nontransportation costs vary with distance.,The ways in which distance affects nontransportation costs is a subject we don't have enough information on.,en,English,0
6bb2d551f1,i am surprised though that we do have so many that are in politics down here,I am surprised that not many of them are in politics down here.,en,English,2
8540c11e37,"Social insurance does not contain established programs exclusively or especially for federal employees, such as: pension and other retirement provisions.",Social security companies do not include a plan for employees of the federal employee.,en,German,0
1589ccaac1,The draft treaty was Tommy's bait.,The treaty bait was not for Tommy.,en,English,2
8289cdfc7d,"Therefore, the number of boilermakers may actually grow more quickly than what was assumed.",The number of boil makers will decrease drastically as expected.,en,English,2
b277ab420e,Watch a girl in a white fur parka with boots,The girl is dressed while red.,en,French,2
792afbd06a,The most legendary feature of the building is related to the gala weapons.,Building is quite big enough.,en,Urdu,1
43b978ef75,Others don't make the consumer happy enough.,Others are enough.,en,Turkish,2
80001fec89,"As long as Assad lives, he can manage these troubles and keep an agreement with Israel.",As long as Assad doesn't die he will be able to take care of the troubles.,en,English,0
d999bfa2a1,The four Javis children? asked Severn.,Severn knows everything about the Jarvis children.,en,English,1
d4dd5ba80d,My brain refusing to command properly.,My brain was not commanding properly.,en,English,0
ad4b9214af," ""So your girl writes that your little farewell activity didn't fare so well, eh?"" he chortled.",Your farewell activity didn't go well.,en,English,0
126018a551,"He looked up from surprise, and then sat down while taking a glimpse of thinking with him.",He was brave from his hope.,en,Hindi,1
097b4dfe2a,You have to walk through it).,You need to pass through it on foot.,en,English,0
b0c2761b43,"No, I exclaimed, astonished. ","""No!"" I cried out in shock. ",en,English,0
61f15fd66d,"On May 1, we should conclude the re-membership options for 1991 contributors.",There is a chance for 1500 members to rebuild their membership.,en,Swahili,1
12840a5edd,TV dinner brings bad stains.,People on TV have only breakfast and lunch.,en,Chinese,2
714a367262,"The inability to communication was a critical element in the crashing of the World Trade Center, the Pentagon and Somerset County, Pennsylvania, where several authorities and several jurisdictions reacted.",It was difficult for the people in the World Trade Center to communicate.,en,German,0
37c01740c6,"Bauerstein had been at Styles on the fatal night, and added: ""He said twice: 'That alters everything.' And I've been thinking. ",Styles is responsible for what happened. ,en,English,1
3d3149ec45,"Long ago--or away, or whatever--there was a world called Thar?? and another called Erath.",Erath is the only world that has ever existed.,en,English,2
6c12f1e611,"Then, all the time, it was in the spill vase in Mrs. Inglethorp's bedroom, under our very noses? I cried. ","So it was hidden in another country, impossible for us to locate?",en,English,2
9832b523a0,because i always had to do it and so i just pay someone else to do it and they do the they do the cutting they fertilize they um edge and um i think this year i'm going to have some landscaping put in,I have never developed a love for gardening. ,en,English,1
71bcd59dd6,' She gets a little obsessive about her sauce.,Her sauce is so complicated that she's obsessed with perfecting each ingredient. ,en,English,1
aab0894630,"Rather, kids today are not only little bundles of joy but also are perhaps the ultimate symbols of worldly success and status.","While kids today are symbols of success and status, and their parents are too. ",en,English,1
bda3f7467b,"Properly implemented, this approach provides reasonable assurance than a trip occurred.",The approach shows you the trip that took place.,en,French,0
7ca8ba219d,China's civil war sent distressing echoes to Hong Kong.,Japan fought a civil war.,en,English,2
e5c40e04ec,But the blood may now be.,A country has quickly arrived for its position.,en,Arabic,0
c69352547f,A postal code can be used by several routes.,EDE Postcode is served by only one route.,en,German,2
cc18ec8d15,"Well, I'm in the texas and we have a teacher who died from AIDS",I have never gone to Texas.,en,Arabic,2
05ab8a9326,The liberal spirit in Europe has only reached Spain except late.,Spain has never been liberal.,en,Arabic,2
24444bd5df,"Left to one's own agents, this reaction is a broadcast and in the presence of excess of trimmers compared to the equilibrium ratio of hexamer to trimmers will flow in the equilibrium by synthesizing the hexamer.","If this reaction is untouched, it will ultimately reach equilibrium.",en,Bulgarian,0
e390988e6f,"The seven grants flow from a new Nonprofit Capacity Building program at the foundation, part of a trend among philanthropists to give money to help organizations grow stronger, rather than to the program services they provide.","The grants flow from a Nonprofit Capacity Building program at the foundation, exemplifying a trend among philanthropists to give money to grow organizations and then to take them over.",en,English,1
9e42108ae0,"Or, eligibility could be restricted to those who have already been pregnant, or at least sexually active; to those over age 13, or under age 21; or some combination thereof.",The age of consent is age 21 as well.,en,English,1
26ef4fcb0c,"The complexity of the subjunctive in French does not worry the least in the world, for the good and simple reason that it does not try to use it.",He does not try because he has no motivation.,en,French,1
7fa1543ed0,Will the White House get clung?,Will the White House change?,en,French,0
2b2010a718,"With the easiest assimilation with the Anglo community, only Protestant Schools accepted their children the Jews of Eastern Europe have graduated from the wealthy Westmount or have emigrated again to Toronto.",Jews were more easily incorporated in the English community.,en,Greek,0
4acead92d8,"In this respect, bringing Steve Jobs back to save Apple is like bringing Gen.",Steve Jobs came back to Apple.,en,English,0
12127455a8,"And how much better are these? - Are you afraid of the clumsy barbados seeder?What torments you, Peter?I have never seen you afraid before.Behind their spins came a shot.",Never seen Peter to Something was afraid.,en,Russian,0
89467c0148,"The pathetic floor, the normal floor instead of the legal word, is a manufacturer of trouble and should be avoided.",Self-satisfaction is not a problem.,en,Arabic,2
7b6768c074,or they had somebody at home that was ill that they had to tend to i mean you can't make it everybody,They did not have anything to do.,en,English,2
de5351757f,"In contrast, in Cite de la Musique is the Musee de la Musique and a giant concert room, Zenith.",Xenine is a large concert courtyard.,en,Thai,0
11788e6295,"from generation to generation (Michiko Kakutani, the New York Times ). A few, like Pearl K. Bell in the Wall Street Journal , find a surfeit of sweetly obedient docility in the novel and say parts are perilously at the edge of sentimentality.",They complained that the novel lacked any emotions.,en,English,2
5aabaf3da7,I hope to hear soon.,Never talk to me again!,en,Bulgarian,2
75cbac107c,"Hey, no problem, a fine policy.","No worries, a good policy.",en,English,0
bbd3930178,"This is Fannie Flono, she grew up in Ag - Augusta, GA, and will talk about some memories of her childhood.",Fannie Flono was able to talk to us today despite her full appointment calendar.,en,German,1
5b09f9eabb,"The m??tro (subway) is the fastest way to move around the city, but the buses, both in the capital and the other big towns, are best for taking in the sights.",Taking the subway is a good way to experience big city life. ,en,English,2
97ca4170dd,"My hero, however, is Richard Heslutain, chairman of Overseas Investment Trust, who resigned earlier this month in a disagreement with the business plan imposed by his superiors.",Hesselle left his job.,en,Bulgarian,0
c5c2c039e5,"They were so sure of themselves that they took it for granted he had made a mistake.""",They simply assumed that he'd made a mistake.,en,English,0
b02c0e148c,This music is no secret for retailers.,Music retailers are completely in the dark about this.,en,Hindi,2
604b64ca7f,i'm on i'm in the Plano school system and living in Richardson and there is a real dichotomy in terms of educational and economic background of the kids that are going to be attending this school,There is a huge amount of poor students and very few wealthy.,en,English,1
e66e2e370a,Stevenson's article shows a fundamental lack of understanding about what our campaign implies.,"Although Stevenson has traveled with us in the campaign, his article makes it clear that he was not paying attention to what the campaign is about, not even at the most basic level.",en,Spanish,1
716eeeea2a,okay and and i think we just hang up i don't think we have to do anything else,"That's it, we just hang up, right? ",en,English,0
5de2aa81ed,"They capitalized on the natural resources by using the salt to cure fish, which they exported to their home country.",They used salt to cure fish and sent it back home. ,en,English,0
6e108e3994,"Even and I like some of her songs, but since I agree as a general rule, I would not choose a rap","I'm not a rap fan, but I like some of the songs you have.",en,German,0
f0e86993ca,"News berates computer users for picking obvious, easily cracked passwords and chastises system administrators for ignoring basic security precautions.",News outlets do not blame users or system administrators for security breaches. ,en,English,2
aae865505c,Newsweek said that tourists and celebrities flocked to Patagonia.Which was once a refuge for the Nazi escape,The new hotel has been built in Patagonia to accommodate tourists.,en,Thai,1
b3c705a914,"To their good fortune, he's proving them right.",He is showing that they were correct.,en,English,0
99b71d209e,Too bad it chose to use McIntyre instead.,McIntyre was picked to be used as the closing pitcher.,en,English,1
dd63e67222,"Oh, I understand the atmosphere here.",I don't like this style.,en,Chinese,0
fc0a6ac2f5,"His official name was Flavian Amphitheater, after the surname of his builder, the Emperor Vespasian.",Nobody knows how the amphitheater from Pozzuoli got his name.,en,German,2
6211b5072d,He was certainly in the cuban and Kaiser's chaos and found the picture and went to Andrews Air Force in Washington.,Only one person was killed in the Cuban crisis crash,en,Swahili,1
8bbc9fd459,and the other thing is the cost it's almost prohibitive to bring it to a dealer,It's cheap to bring it to a dealer.,en,English,2
3c2e8a360d,WHOLE LIFE POLICIES - Policies that provide insurance over the insured's entire life and the proceeds (face amount) are paid only upon death of the insured.,A whole life policy is the best choice for someone who expects to live to the age of 90.,en,English,1
b1ad9fb1ef,"2466, discusses the four collections, which include certification of a minimum number of installed and operating microwave links and the maintenance of a computer-readable database.",2466 discusses four collections.,en,English,0
7cc9bb38f9,"The Women's Haven, which provides shelter and outreach to domestic-violence victims, already has a full-time attorney.",There is a full-time attorney at the Women's Haven already.,en,English,0
a8bcd9ccf7,uh high humidity,Air with increased water content.,en,English,0
6c2527b960,"In the case of US 11, the ultimate normal communication from the plane at 8:13 am.",Do not have any contact information from American 11.,en,Vietnamese,2
80f6ac92a4,"We need to look at the implications that these differing roles have for a range of issues, such as SES core competencies, performance standards, recruitment sources, mobility, and training and development programs.",We can completely ignore the implications of the roles on mobility.,en,English,2
eb04f1a8f0,yeah yeah yeah well because that's the way they they might seem outwardly but boy there's a lots going on in there,There is another layer to the surface.,en,English,0
e7ad6c38fc,"In this situation, the value to the mailer of the improved service would be considered along with the cost of doing the work.",No consideration will be given to the cost of doing the work in this case.,en,English,2
ca2f6459bd,Is there adequate information for judging generalizability?,Output information is way too much generalized.,en,English,1
212fc2ad66,The political cleansing that did not happen through the impeachment process leaves Clinton with a great and serious burden.,The impeachment process involved Clinton's husband as well.,en,English,1
df8998b7a7,"Well, my grandparents always have very love, and my parents are also, we enjoy a good time in the side.",My grandparents are a very loving couple.,en,Chinese,0
d5249d1219,isn't it i can remember i've only been here eight years but i can remember coming to work from i used to live in Wylie and i could see downtown Dallas,I have only been here for two years.,en,English,2
a38659ed31,"Over most of the 1980s and 1990s, the U.S. was able to invest more than it saved by attracting financing from abroad.",The US could save more than it invested in the 1980's and 90's.,en,English,2
ceedd25541,"If anyone has an edition in 1984, he might be angry because he had to buy that book, not a smaller copy (and less expensive).",Surcharge cheaper books.,en,Vietnamese,0
73fff19324,I told them I was my sister.,I blamed my sister.,en,Spanish,0
8f448b8aa5,"AJAJ had entered the United States with a B-2 tourist visa in New York City on September 9, 1991.",Ajaj had a tourist visa when he went to the United States.,en,Spanish,0
a49ecd3734,"Credibility is a vital factor, and Jim Lehrer does, indeed, have it.",Everyone would believe whatever Jim Lehrer said.,en,English,1
952a08b1f3,There should be someone here who knew more of what was going on in this world than he did now.,He knew he was the only person with any idea of what was going on. ,en,English,2
8a4a9c16be,"In 2003, these codes were canceled;Now all issues related to international terrorism receive one code - 315.",All questions related to terrorism receive the highest priority.,en,Russian,1
73dce915f0,Notices to opposition lawyer and the court or administrative agency should be sent.,The Other Adversse del Petrics et la Cour Salvoir Des Re Re Re Re Re Re Re Re Re Re Re Reds Legaux.,en,French,1
e1e92f6499,"President Kennedy tells Pilots: Gentlemen, you take good pictures.",Kennedy did not recognize them.,en,Greek,2
4c7b129507,"Is it?We have almost an acre, yes it's strange because we have","It's not a joke, we only have a square foot ground.",en,Urdu,2
ef98cc7a44,"Its scorecard included measures for accuracy, speed and timeliness, unit cost, customer satisfaction, and employee development and satisfaction.",Accuracy and speed are the first measurements listed on the scorecard.,en,English,1
247c31cc1f,"Therefore, I know that you go to the limits to be compassionate and take care of others.",I know you just do not care about people at all.,en,Greek,2
2fa7d36591,"The First Wives Club, a revenge comedy with three abandoned spouses, won most in its first weekend than any other female movie in history.",The actors and hypocritical have contributed more from the plot to the FIRST WIVES CLUB Cinema Record.,en,Greek,1
ee747eb8ca,"In fact, the word quark in Oxford Dictionary means `sewn, with the 19th century references refer to frogs, Western, and sad king.",Most people do not know the origin of your quark word and they refer to the noise issued by the frog.,en,Arabic,1
dd883e1f46,"On the left of the entrance ramp is the open space once occupied by the Temple of Athena, close to which are the remains of the Pergamene library.",There are no remains visible from the ramp.,en,English,2
ab87e8abac,"um, how do you think that the newspaper in Colorado Springs deals with local interests",Do you think the local newspapers are not interested in what citizens have to say?,en,German,1
640c0172a6,"If you are keen to learn Israeli folk dancing, the Bicurei Ha'etim Cellar in Heftman Street will teach you.",The Bicurei Ha'etim Cellar is the only place to learn Israeli folk dancing.,en,English,1
c4e8713899,"Or Sherlock Holmes?""",Was it Sherlock Holmes?,en,English,0
c776773683,We are so accustomed to hear how American companies complain about foreign competition that the accusations that Kodak puts forward after their defeat are perceived as another whisen.,American companies are responsible for foreign competition.,en,Russian,0
a14e13370f,"Though the two cities remained unlinked by rail, this was about to change quickly.",The two cities did not have a railway between them.,en,English,0
39d065817a,Tourist Information offices can be very helpful.,Tourist Information offices are never of any help.,en,English,2
101dc2c1bb,"More detailed implementation plans also will be necessary to address business system, processes, and resource issues.","Detailed implementation plans are necessary to address business system, processes and resources ",en,English,0
b645ab43a4,"Dubai is a modern city that can easily reach major airports, travel agencies, hotels, and Western business agencies, is an ideal transfer station.",Dubai is the first choice for the transfer station.,en,Chinese,1
7df831c8e2,We will make the target.,We will fall very close to the target.,en,Greek,2
0c338feb50,"First, injected cannabinoids may not mirror the effects of smoked marijuana.",Smoking marijuana gets people higher than injected them with cannabinoids.,en,English,1
617f1dc5f2,The data would be presented as required supplementary stewardship information accompanying the consolidated financial statements of the Federal Government but not in individual reports of its component units.,The data would be included in individual reports concerning the constituent units of the federal government.,en,English,2
8adeb402ee,Boca da Corrida Encumeada (moderate; 5 hours): views of Curral das Freiras and the valley of Ribeiro do Poco.,"""Views of Curral da Freiras and the valley of Ribeiro do Poco"" is chapter 5. ",en,English,1
162467ddeb,"Certainly FDNY is not responsible for the management of city reactions to emergencies, as the mayor's directive has requested.",The city's reaction management has been handled by organizations other than FDNY.,en,Vietnamese,0
6595e3320d,"While numbers are impressive, scholarships are often important for recruiting leading students with economic needs.",We do not give scholarships or financial assistance to students.,en,Greek,2
a7a2a9fc5e,"INTEREST RATE - The price charged per unit of money borrowed per year, or other unit of time, usually expressed as a percentage.",Interest rate can range from zero to fifteen percent. ,en,English,1
e7bc15b1b9,that's hilarious to to get that jack off that's right oh that's a funny story,I will enjoy telling that story.,en,English,1
f50208a07e,"Mr. Erlenborn attended undergraduate courses at the University of Notre Dame, Indiana University, the University of Illinois, and Loyala University of Chicago.",Mr. Erlenborn attended classes in at least four different universities.,en,English,0
00ddb7aea4,"So unlike people who are fortunate enough to be able to afford attorneys and can go to another lawyer, our clients are simply lost in the legal system if they cannot get access to it from us.",Our clients can afford attorneys and bouncing between lawyers.,en,English,2
b0ee325483,Finally the woman opened her eyes feebly.,She opened her eyes. ,en,English,0
b332076fc2,"Of course, it is assumed that quantum uncertainty in the law is quite radical, but it doesn't seem to be impossible.",Some people who believe that there is quantum uncertainty in the law may be a radical molecule.,en,Chinese,1
a5484dd197,The finest is the huge conical-roofed Tomb/Pillar of Absalom (King David's son).,The Tomb/Pillar of Absalom has a large cone-shaped roof.,en,English,0
d68455eccf,"This week offers Ken Star's report on the love of great star, which will count romance in the presidential limo, Oval Office and even liner Badom!",Asker was knowledgeable about the White House,en,Urdu,0
34cd54592e,When the sand formedThe sand went into the corner.And expand into the table edge,The sand was lap by bulldozer.,en,Thai,1
0393073e4a,"Unless the mention of the Ritz was an accidental remark?""",Was mentioning the Ritz accidental?,en,English,0
09b8ecb23f,They are the four sentences you always insert in plagiarized papers to throw the professor off track.,These four sentences force professors to skim over the paragraph and inadvertently skip the plagiarized information.,en,English,1
a9ee3935c9,"Built in 688-691 AD, it is decorated with thousands of excellent, mainly blue and yellow, Persian ceramic tiles, with Koranian scriptures in the abdomen.","The walls have 100,000 tiles on them.",en,Greek,1
0477c22e6d,This man claims that he has been robbed en route and is stranded without money or his plane ticket in an airport somewhere in Europe or the Middle East.,He claimed he was robbed on the way and has no money or a plane ticket,en,English,0
3074381515,"It was planned in the 1820s as a symbol of Scottish national pride and designed as a mini-Parthenon, in deference to the neoclassical style popular at the time.",It was designed to be a smaller version of the Parthenon.  ,en,English,0
fc11d4b8cb,"Ogle, said with a cold voice and steep as steel, your station is on arms deck.",Ogle is always at the firearms station.,en,Greek,1
489847e94d,"Although claims data provide the most accurate information about health care use, ensuring adequate follow-up for purposes of obtaining information from patient self-report is important because many people do not report alcohol-related events to insurance compa-nies.",Alcohol related events that contribute to disease are often unreported by patients to their insurance companies. ,en,English,0
a235cb04e1,"Could you please speak to this issue, with regard to the social ramifications of gum chewing in public?","You don't have an opinion on gum chewing in public, I see.",en,English,2
772391afdf,The H-2A worker must depart the country and is subject to deportation for failing to do so.,The H-2A worker committed a crime.,en,English,1
e90c9dda0f,The researchers found expected stresses like the loss of a check in the mail and the illness of loved ones.,The stresses affected people as the researchers expected.,en,English,0
9f89cd56c7,"Relaho can also describe a joking relationship, a mysterious reversal back and forth, which relieves the tension and deletes the cause of the instantaneous voltage.",Relajo is joking about the economy.,en,Bulgarian,1
8c3a69f486,You have to walk through it).,You can stay where you are.,en,English,2
836766ea05,"The 28 sta?­tues representing the kings of Judah and Israel have been remodeled after the drawings of Viollet-le-Duc; the original ones were pulled down during the Revolution, since they were thought to be the kings of France.",The people who pulled down the statues were executed.,en,English,1
ee546513c1,well damn!Maybe you will explain yourself?Where has he woven?,I want you to explain yourself!I know where you know where Volwarstone is.,en,Hindi,1
ba01e23d88,"If I am not a pride, I feel that the main reason for this the foundation of the lack of lust is available to domestic states.",Regional language is possible due to lack of language ambition.,en,Swahili,0
648feccb3d,Ca'daan closed the door behind them and retied the not.,"Ca'daan closed the door as they entered, and bound it shut with rope.",en,English,0
b23bdc1a30,Small towns like Louisian lay scattered all over the Oil Fields; the main train line branched between them.,A main train line went between all the small towns.,en,English,0
bf6fb470ee,"Linguists who write books, apparently, always impose their point of view, sometimes, to put it mildly, unseeing.",Most linguists write books to promote the opinions of others.,en,Russian,2
b5ca4c01f3,i think that the people that are um have um a lower income which you automatically equate with lower education,I think higher income equals lower education.,en,English,2
44bad2a664,"Be of good cheer,","Be of good cheer, for beer time is near.",en,English,1
5594f92e61,"In reviewing this history, it's important to make some crucial distinctions.",There's no point in analyzing the past.,en,English,2
970707c7f5,"The Black River, at 71 km (44 miles), is the longest in Jamaica; it was an arterial route used to transport rum and lumber from the inland plantations.",The Black River received its name because the water in its stream is actually black.,en,English,1
3fa01b03f8,in our town of five thousand we have one that is uh local FM AM station and their news is fed from CNN too uh it's more of uh,The town radio station never relied on any national news sources.,en,English,2
2c9359d401,She did not explode without the detonator.,The trigger makes it exhibit.,en,French,0
0bc8210460,There are certain categories of control activities that are common to all agencies.,Control activities such as safe business practices are universally common across all agencies.,en,English,1
cfcc3db071,Wander on the floors and talk to the actors playing the roles of seafarers and travelers.,Actors are paid ten dollars a day to pretend to be pilgrims.,en,Greek,1
d37166ccce,"More than 100 judges, lawyers and dignitaries were present for the gathering.",Only two people showed up for the gathering.,en,English,2
1575809c3c,He had forgotten about Adrin.,He remembered Adrin all this time.,en,English,2
db6d9923f3,"In other words, the paper exhibited the all-too-typical journalistic tic of exposing potential conflicts of interest involving politicians while ignoring those involving journalists.","The paper shows, the journalists exposing potential conflicts of interests around politicians, but never exposing other journalists.",en,English,0
1e9caaf93c,The final reason for the teen renaissance is boomer self-obsession.,Boomer self-obsession is one of the reasons for teen renaissance.,en,English,0
9d597f75c9,"After the death of Columbus in 1505, Jamaica became the property of his son Diego, who dispatched Don Juan de Esquivel to the island as Governor.","Jamaica was inherited by Columbus' son, Diego.",en,English,0
1e0cc288b1,"However, they lived in the suburbs of Augusta named Ivans, Ivhers is still there, and many relatives still live there.",Twenty family members live in Evans.,en,Chinese,1
9deab91b98,The detainee dates the meeting with the fools of October 1999.,The meeting took place in December 1998.,en,Russian,2
8d7f3793e5,"He said in jail, Jeremy said silently",Jeremy Ik Superior Call is Zindegee.,en,Urdu,1
56d48aa27a,"They won't be killing off George Clooney's character at ER like they did to Jimmy Smits at NYPD . Instead, Dr. Doug Ross is being forced out over the next two episodes because the maverick heartthrob gives an unauthorized painkiller to a terminally ill boy (Thursday, 10 p.m.).",George Clooney will lose his job because the producers don't think he can act. ,en,English,2
fd0d3579c4,"120 ""You do not think I ought to go to the police?""",Should I not go to the police?,en,English,0
e21db52eb1,yeah because those things i think would just snap you know,Because they would survive easily.,en,English,2
f9f20650aa,We have taken a number of steps to empower and invest in our employees.,The steps we have taken put programs for the employees in place.,en,English,0
6960d6ed8a,"Vahee Baat New York Times Ke Lie Nahin Kaha Ja Sakata HaiCocaine Vivaad Par Apne Sampaadakeey Mein, Times Ne Bush Ko Eemaanadaar Hone Kee Salaah Dee Aur Kaha Ki Desh Ko Apana Upaay Karane Den",Times said that Bush should just lie to everyone.,en,Hindi,2
85cc0bfc3d,"In the case of speech, Fiss appears to believe that the reason the American public is less enlightened than he would wish it to be concerning matters such as feminism, the rights of homosexuals, and regulation of industry is that people are denied access to the opinions and information that would enlighten them.","People in America are very well informed on controversial topics, according to Fiss.",en,English,2
9752c3f911,Time for parents and children together is the first step to fulfill the ideas and practice that I will discuss in this book.,"In this book, I will mention the topics that parents and their children can do while spending time together.",en,Vietnamese,0
e1cfb4f6e6,"The rustic Bras-David picnic area, for example, is set alongside a burbling stream.",The picnic area is not near a stream.,en,English,2
13b2d2328b,and uh well if you if you got got him a power mower it'd probably take him a lot less time to do it but i enjoy doing it i feel good doing it uh i i feel a lot better doing it with a power mower with that with a  with a pull tractor on it so i don't have to push so hard,He would mow your entire yard in eight minutes if he was using a power mower.,en,English,1
8d360ce050,"Progress in aviation is done, but long-term attention is required.",Budgets must be increased overall for optimal results.,en,Greek,1
dc5c4be838,um-hum yeah i saw that for the first time yesterday in the evening,I was very impressed when I saw that yesterday.,en,English,1
12d5e4b5de,He told me exactly what he needed and that he needed it today.,He said I could add it at any time.,en,Greek,2
0ef9524ce7,"Bauerstein.""",Alfred Inglethorp,en,English,2
5bb743d827,The museum was not established on the list or label,The museum does not like to be written.,en,Swahili,1
0cc7c4de1b,What have we for lunch? ,What are we going to eat for lunch?,en,English,0
840da92d5e,A poll of Hong Kong residents finds them sanguine about the city's future.,A poll of Hong Kong residents finds them more sanguine about the city's future than before. ,en,English,1
1b1f7455ef,"Nearly 100,000 people come here to enjoy the dazzling architecture and explore the latest attractions in this changing city.",There is no developed tourism in this city.,en,Chinese,2
0fba15690f,There are two evolutionary advantages for average appearance.,It is useful to look normally because people leave you in your case.,en,Arabic,1
e0bec36772,well i meant when when you were when you were growing up i mean like Galveston,You grew up in Galveston and I grew up in Dallas.,en,English,1
fb3122d537,I am so constituted as to be unable to give away money with any satisfaction until I have made the most careful inquiry as to the worthiness of the cause.,I have to research a cause carefully before donating money to it.,en,English,0
2eca16560f,you know they they like what they're doing they you know they feel good about what they're doing that type of thing it's more,You can see the way that their whole demeanor has changed.,en,English,1
bb14b19517,Can I help you?',I'm not helping you at all.,en,English,2
ee4804f903,"The traditional opening time for many hotels is the Orthodox Easter, although some do not open until the end of April.",The hotels don't open in Halloween.,en,English,1
a080e008b4,medical and surgical expense coverage.,Medical and surgical expenses were fully covered,en,English,1
